State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.9737822569403417	0.007971968510324697	2.9542209722117066E-5	1.6890361807676026E-5	0.0	5.639352142355739E-5	0.0019157067634997837	0.011859770771353619	0.004367470921526945	0.0
2	0.03188388554653422	0.9122824053215456	0.052081581694752785	1.0986991196250143E-4	0.0	7.009628760916541E-5	0.0	0.0033163967157602715	0.0	2.557645218355202E-4
3	2.4066355874819998E-4	0.11410646209991654	0.8069527558721012	0.05909327424125408	0.002016294228171348	8.595632644220265E-4	6.862775364637339E-4	0.01569411551044508	3.5059368847766866E-4	0.0
4	0.0	1.2325467188615587E-4	0.06933911668674178	0.8689276535407305	0.011536816023839862	0.03476857186480412	0.0024655514421441267	0.01250938750324128	3.296482666121766E-4	0.0
5	0.0	0.0	0.0033813385991634123	0.014894298342555944	0.7900845424425822	0.020488757624575773	0.0782957706659447	0.09285529232517811	0.0	0.0
6	8.109852772904204E-4	1.295775312752383E-4	0.0013342433325067217	0.04231827289205435	0.019034273014228012	0.6755419440663384	0.21859494756866713	7.097445634396193E-4	0.0072303906052295355	0.034295621148970654
7	0.0061585614889471466	0.0	0.0	0.0011185844431358721	0.019127544546866753	0.05922348500986247	0.6954230423318809	0.008111626662946137	0.02725893466057032	0.18357822085579034
8	0.11493651570292929	0.007929530211820315	0.01827100945249993	0.011874209027011605	0.06966570642720761	6.506265961644697E-4	0.023713108356387444	0.7496406066043824	0.003318687621597062	0.0
9	6.110459690612403E-4	0.0	1.0773493337054598E-6	0.0	0.0	1.0580610845843801E-4	0.0012494775060268703	5.352308986786802E-5	0.996357733733018	0.001621336244234066
10	0.0	2.6263288097540262E-5	2.6751191620635885E-5	0.0	0.0	0.0010371187825642771	0.019377720809109992	0.0	0.0039382357516599895	0.9755939101769475
